"","phase","year","plot","plot_num","plot_dir","rotation","corn","crop","variety","all_corn","yield_bush","yield_ton","treated","treatment","manure","lime","nit","p205","k20","stover","population","plant_date","plant_day","soil_sample","damage","notes"
"63",1,1890,"4SC",4,"SE",2,TRUE,"C","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"64",1,1890,"4SD",4,"SE",2,TRUE,"C","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"65",1,1890,"5NA",5,"NW",3,FALSE,"H","Medium clover",FALSE,NA,1.51,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"66",1,1890,"5NB",5,"NW",3,FALSE,"H","Medium clover",FALSE,NA,1.51,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"67",1,1890,"5NC",5,"NE",3,FALSE,"H","Medium clover",FALSE,NA,1.51,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"68",1,1890,"5ND",5,"NE",3,FALSE,"H","Medium clover",FALSE,NA,1.51,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"69",1,1890,"5SA",5,"SW",3,FALSE,"H","Medium clover",FALSE,NA,1.51,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"70",1,1890,"5SB",5,"SW",3,FALSE,"H","Medium clover",FALSE,NA,1.51,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"71",1,1890,"5SC",5,"SE",3,FALSE,"H","Medium clover",FALSE,NA,1.51,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"72",1,1890,"5SD",5,"SE",3,FALSE,"H","Medium clover",FALSE,NA,1.51,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"73",1,1891,"3NA",3,"NW",1,TRUE,"CC","Burr's White",FALSE,28.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-05",125,FALSE,NA,NA
"74",1,1891,"3NB",3,"NW",1,TRUE,"CC","Burr's White",FALSE,28.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-05",125,FALSE,NA,NA
"75",1,1891,"3NC",3,"NE",1,TRUE,"CC","Burr's White",FALSE,28.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-05",125,FALSE,NA,NA
"76",1,1891,"3ND",3,"NE",1,TRUE,"CC","Burr's White",FALSE,28.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-05",125,FALSE,NA,NA
"77",1,1891,"3SA",3,"SW",1,TRUE,"CC","Burr's White",FALSE,28.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-05",125,FALSE,NA,NA
"78",1,1891,"3SB",3,"SW",1,TRUE,"CC","Burr's White",FALSE,28.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-05",125,FALSE,NA,NA
"79",1,1891,"3SC",3,"SE",1,TRUE,"CC","Burr's White",FALSE,28.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-05",125,FALSE,NA,NA
"80",1,1891,"3SD",3,"SE",1,TRUE,"CC","Burr's White",FALSE,28.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-05",125,FALSE,NA,NA
"81",1,1891,"4NA",4,"NW",2,TRUE,"C","Burr's White",FALSE,33.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-06",126,FALSE,NA,NA
"82",1,1891,"4NB",4,"NW",2,TRUE,"C","Burr's White",FALSE,33.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-06",126,FALSE,NA,NA
"83",1,1891,"4NC",4,"NE",2,TRUE,"C","Burr's White",FALSE,33.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-06",126,FALSE,NA,NA
"84",1,1891,"4ND",4,"NE",2,TRUE,"C","Burr's White",FALSE,33.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-06",126,FALSE,NA,NA
"85",1,1891,"4SA",4,"SW",2,TRUE,"C","Burr's White",FALSE,33.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-06",126,FALSE,NA,NA
"86",1,1891,"4SB",4,"SW",2,TRUE,"C","Burr's White",FALSE,33.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-06",126,FALSE,NA,NA
"87",1,1891,"4SC",4,"SE",2,TRUE,"C","Burr's White",FALSE,33.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-06",126,FALSE,NA,NA
"88",1,1891,"4SD",4,"SE",2,TRUE,"C","Burr's White",FALSE,33.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1891-05-06",126,FALSE,NA,NA
"89",1,1891,"5NA",5,"NW",3,FALSE,"H","Medium clover",FALSE,NA,1.46,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"90",1,1891,"5NB",5,"NW",3,FALSE,"H","Medium clover",FALSE,NA,1.46,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"91",1,1891,"5NC",5,"NE",3,FALSE,"H","Medium clover",FALSE,NA,1.46,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"92",1,1891,"5ND",5,"NE",3,FALSE,"H","Medium clover",FALSE,NA,1.46,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"93",1,1891,"5SA",5,"SW",3,FALSE,"H","Medium clover",FALSE,NA,1.46,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"94",1,1891,"5SB",5,"SW",3,FALSE,"H","Medium clover",FALSE,NA,1.46,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"95",1,1891,"5SC",5,"SE",3,FALSE,"H","Medium clover",FALSE,NA,1.46,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"96",1,1891,"5SD",5,"SE",3,FALSE,"H","Medium clover",FALSE,NA,1.46,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"97",1,1892,"3NA",3,"NW",1,TRUE,"CC","Burr's White",FALSE,33.1,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-26",147,FALSE,NA,NA
"98",1,1892,"3NB",3,"NW",1,TRUE,"CC","Burr's White",FALSE,33.1,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-26",147,FALSE,NA,NA
"99",1,1892,"3NC",3,"NE",1,TRUE,"CC","Burr's White",FALSE,33.1,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-26",147,FALSE,NA,NA
"100",1,1892,"3ND",3,"NE",1,TRUE,"CC","Burr's White",FALSE,33.1,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-26",147,FALSE,NA,NA
"101",1,1892,"3SA",3,"SW",1,TRUE,"CC","Burr's White",FALSE,33.1,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-26",147,FALSE,NA,NA
"102",1,1892,"3SB",3,"SW",1,TRUE,"CC","Burr's White",FALSE,33.1,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-26",147,FALSE,NA,NA
"103",1,1892,"3SC",3,"SE",1,TRUE,"CC","Burr's White",FALSE,33.1,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-26",147,FALSE,NA,NA
"104",1,1892,"3SD",3,"SE",1,TRUE,"CC","Burr's White",FALSE,33.1,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-26",147,FALSE,NA,NA
"105",1,1892,"4NA",4,"NW",2,FALSE,"O","New Dakota Gray",FALSE,37.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-04-06",97,FALSE,NA,NA
"106",1,1892,"4NB",4,"NW",2,FALSE,"O","New Dakota Gray",FALSE,37.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-04-06",97,FALSE,NA,NA
"107",1,1892,"4NC",4,"NE",2,FALSE,"O","New Dakota Gray",FALSE,37.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-04-06",97,FALSE,NA,NA
"108",1,1892,"4ND",4,"NE",2,FALSE,"O","New Dakota Gray",FALSE,37.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-04-06",97,FALSE,NA,NA
"109",1,1892,"4SA",4,"SW",2,FALSE,"O","New Dakota Gray",FALSE,37.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-04-06",97,FALSE,NA,NA
"110",1,1892,"4SB",4,"SW",2,FALSE,"O","New Dakota Gray",FALSE,37.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-04-06",97,FALSE,NA,NA
"111",1,1892,"4SC",4,"SE",2,FALSE,"O","New Dakota Gray",FALSE,37.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-04-06",97,FALSE,NA,NA
"112",1,1892,"4SD",4,"SE",2,FALSE,"O","New Dakota Gray",FALSE,37.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-04-06",97,FALSE,NA,NA
"113",1,1892,"5NA",5,"NW",3,TRUE,"C","Burr's White",FALSE,70.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-28",149,FALSE,NA,NA
"114",1,1892,"5NB",5,"NW",3,TRUE,"C","Burr's White",FALSE,70.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-28",149,FALSE,NA,NA
"115",1,1892,"5NC",5,"NE",3,TRUE,"C","Burr's White",FALSE,70.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-28",149,FALSE,NA,NA
"116",1,1892,"5ND",5,"NE",3,TRUE,"C","Burr's White",FALSE,70.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-28",149,FALSE,NA,NA
"117",1,1892,"5SA",5,"SW",3,TRUE,"C","Burr's White",FALSE,70.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-28",149,FALSE,NA,NA
"118",1,1892,"5SB",5,"SW",3,TRUE,"C","Burr's White",FALSE,70.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-28",149,FALSE,NA,NA
"119",1,1892,"5SC",5,"SE",3,TRUE,"C","Burr's White",FALSE,70.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-28",149,FALSE,NA,NA
"120",1,1892,"5SD",5,"SE",3,TRUE,"C","Burr's White",FALSE,70.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1892-05-28",149,FALSE,NA,NA
"121",1,1893,"3NA",3,"NW",1,TRUE,"CC","Burr's White",TRUE,21.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-12",132,FALSE,NA,NA
"122",1,1893,"3NB",3,"NW",1,TRUE,"CC","Burr's White",TRUE,21.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-12",132,FALSE,NA,NA
"123",1,1893,"3NC",3,"NE",1,TRUE,"CC","Burr's White",TRUE,21.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-12",132,FALSE,NA,NA
"124",1,1893,"3ND",3,"NE",1,TRUE,"CC","Burr's White",TRUE,21.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-12",132,FALSE,NA,NA
"125",1,1893,"3SA",3,"SW",1,TRUE,"CC","Burr's White",TRUE,21.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-12",132,FALSE,NA,NA
"126",1,1893,"3SB",3,"SW",1,TRUE,"CC","Burr's White",TRUE,21.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-12",132,FALSE,NA,NA
"127",1,1893,"3SC",3,"SE",1,TRUE,"CC","Burr's White",TRUE,21.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-12",132,FALSE,NA,NA
"128",1,1893,"3SD",3,"SE",1,TRUE,"CC","Burr's White",TRUE,21.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-12",132,FALSE,NA,NA
"129",1,1893,"4NA",4,"NW",2,TRUE,"C","Burr's White",TRUE,29.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-13",133,FALSE,NA,NA
"130",1,1893,"4NB",4,"NW",2,TRUE,"C","Burr's White",TRUE,29.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-13",133,FALSE,NA,NA
"131",1,1893,"4NC",4,"NE",2,TRUE,"C","Burr's White",TRUE,29.6,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1893-05-13",133,FALSE,NA,NA
